"kön","utbildningens inriktning","ålder","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"totalt","Totalt","totalt",..,..,7830,8968,9907,10510,12081,10885,11393,11597,13129,12920,13279,13603,14628,17236,19944,23930,22304,..
"totalt","Data/It","totalt",..,..,427,413,515,525,716,594,856,999,1114,1192,1319,1185,1317,1508,2276,3356,3247,..
"totalt","Ekonomi, administration och försäljning","totalt",..,..,2074,2686,2997,3232,3380,3392,3358,3424,3857,3501,3268,3747,4104,4858,5432,5778,4928,..
"totalt","Friskvård och kroppsvård","totalt",..,..,202,304,303,305,287,129,99,100,122,106,86,51,99,109,125,129,167,..
"totalt","Hotell, restaurang och turism","totalt",..,..,664,899,832,746,876,794,711,644,676,593,573,674,678,731,893,913,788,..
"totalt","Hälso- och sjukvård samt socialt arbete","totalt",..,..,1241,1145,1108,1253,1427,1243,1387,1541,1985,2050,2138,1974,2242,2946,3032,3720,3938,..
"totalt","Journalistik och information","totalt",..,..,15,22,43,66,68,61,63,114,164,207,199,191,198,278,303,255,267,..
"totalt","Juridik","totalt",..,..,21,42,54,50,26,53,52,79,90,60,102,110,122,122,160,151,105,..
"totalt","Kultur, media och design","totalt",..,..,666,778,782,817,851,676,704,635,837,837,778,935,903,872,1017,1243,1201,..
"totalt","Lantbruk, djurvård, trädgård, skog och fiske","totalt",..,..,460,389,462,369,469,463,417,407,395,409,424,454,324,424,461,571,560,..
"totalt","Pedagogik och undervisning","totalt",..,..,13,57,69,48,321,247,161,220,192,165,313,197,478,444,476,674,620,..
"totalt","Samhällsbyggnad och byggteknik","totalt",..,..,524,450,621,768,801,869,1193,1142,1354,1385,1645,1573,1823,2127,2672,3531,3068,..
"totalt","Säkerhetstjänster","totalt",..,..,108,117,169,169,144,97,119,107,64,133,142,63,100,155,120,195,218,..
"totalt","Teknik och tillverkning","totalt",..,..,1086,1196,1474,1672,2071,1705,1799,1853,1871,1782,1746,1670,1670,1935,2411,2777,2561,..
"totalt","Transporttjänster","totalt",..,..,329,470,456,462,617,535,474,300,343,435,494,694,527,646,498,520,489,..
"totalt","Övrigt","totalt",..,..,..,0,22,28,27,27,0,32,65,65,52,85,43,81,68,117,147,..
